species,x,y,Urban,Coniferous,Broadleaf,MountainHeathBog,Freshwater,visit,rain,wind,obs
A,301500,966500,0,0,1,0,0,1,4,1,0
A,301500,966500,0,0,1,0,0,2,2,2,0
A,301500,966500,0,0,1,0,0,3,26,2,0
A,301500,966500,0,0,1,0,0,4,11,1,1
A,326500,965500,0,0,0,0,0,1,2,2,0
A,326500,965500,0,0,0,0,0,2,1,3,0
A,326500,965500,0,0,0,0,0,3,7,1,0
A,331500,964500,0,0,0,100,0,2,0,1,1
A,331500,964500,0,0,0,100,0,4,13,1,0
A,237500,963500,0,0,0,56,0,1,1,3,0
A,237500,963500,0,0,0,56,0,2,0,1,0
A,237500,963500,0,0,0,56,0,3,1,1,0
A,237500,963500,0,0,0,56,0,4,4,2,0
A,279500,963500,0,0,2,7,0,1,18,1,0
A,279500,963500,0,0,2,7,0,3,0,1,0
A,279500,963500,0,0,2,7,0,4,1,2,0
A,290500,963500,0,31,0,49,0,2,2,2,0
A,290500,963500,0,31,0,49,0,3,2,2,0
A,290500,963500,0,31,0,49,0,4,1,2,0
A,269500,962500,0,0,0,0,0,1,3,2,0
A,269500,962500,0,0,0,0,0,2,1,2,0
A,269500,962500,0,0,0,0,0,3,1,2,0
A,269500,962500,0,0,0,0,0,4,9,1,0
A,306500,962500,0,3,0,0,1,1,5,2,0
A,306500,962500,0,3,0,0,1,2,0,1,0
A,306500,962500,0,3,0,0,1,3,8,3,0
A,306500,962500,0,3,0,0,1,4,0,2,0
A,271500,960500,0,0,2,81,4,1,3,1,0
A,271500,960500,0,0,2,81,4,2,2,1,0
A,271500,960500,0,0,2,81,4,3,1,2,0
A,271500,960500,0,0,2,81,4,4,2,1,0
A,305500,960500,0,54,0,37,0,1,1,2,0
A,305500,960500,0,54,0,37,0,2,1,3,0
A,305500,960500,0,54,0,37,0,4,2,1,0
A,307500,958500,0,4,0,7,40,1,0,2,1
A,307500,958500,0,4,0,7,40,2,2,2,0
A,307500,958500,0,4,0,7,40,3,5,1,1
A,307500,958500,0,4,0,7,40,4,1,2,1
A,327500,958500,1,0,0,22,0,1,9,1,0
A,327500,958500,1,0,0,22,0,3,3,1,0
A,327500,958500,1,0,0,22,0,4,28,1,0
A,285500,957500,0,0,0,94,6,1,0,2,0
A,285500,957500,0,0,0,94,6,2,9,1,0
A,285500,957500,0,0,0,94,6,3,2,1,0
A,285500,957500,0,0,0,94,6,4,1,1,0
A,325500,957500,1,0,0,0,0,1,1,1,0
A,325500,957500,1,0,0,0,0,3,1,2,1
A,325500,957500,1,0,0,0,0,4,3,1,1
A,228500,956500,0,0,0,100,0,1,20,2,1
A,228500,956500,0,0,0,100,0,2,5,1,0
A,228500,956500,0,0,0,100,0,3,9,3,0
A,228500,956500,0,0,0,100,0,4,3,1,0
A,235500,956500,0,0,0,3,0,1,14,1,1
A,235500,956500,0,0,0,3,0,2,0,1,0
A,235500,956500,0,0,0,3,0,3,1,1,0
A,235500,956500,0,0,0,3,0,4,9,2,0
A,263500,956500,0,0,0,100,0,1,2,2,0
A,263500,956500,0,0,0,100,0,3,5,1,0
A,263500,956500,0,0,0,100,0,4,27,1,0
A,221500,954500,0,0,0,91,9,1,2,2,0
A,221500,954500,0,0,0,91,9,2,3,2,0
A,221500,954500,0,0,0,91,9,3,2,1,0
A,221500,954500,0,0,0,91,9,4,1,2,0
A,240500,954500,0,0,0,0,0,1,1,1,1
A,240500,954500,0,0,0,0,0,2,0,2,0
A,240500,954500,0,0,0,0,0,3,2,2,0
A,240500,954500,0,0,0,0,0,4,1,2,1
A,248500,954500,0,0,0,100,0,1,11,1,0
A,248500,954500,0,0,0,100,0,2,5,1,0
A,248500,954500,0,0,0,100,0,4,7,1,0
A,252500,953500,0,0,0,100,0,1,4,2,0
A,252500,953500,0,0,0,100,0,2,2,1,0
A,252500,953500,0,0,0,100,0,3,0,1,0
A,252500,953500,0,0,0,100,0,4,1,1,0
A,245500,952500,0,0,24,27,48,1,5,1,0
A,245500,952500,0,0,24,27,48,2,1,2,0
A,245500,952500,0,0,24,27,48,3,3,2,0
A,262500,949500,0,0,4,0,50,1,1,1,0
A,262500,949500,0,0,4,0,50,2,1,1,0
A,262500,949500,0,0,4,0,50,3,13,1,0
A,262500,949500,0,0,4,0,50,4,19,2,0
A,224500,948500,0,0,0,90,10,3,7,2,1
A,224500,948500,0,0,0,90,10,4,2,3,0
A,233500,948500,0,0,0,98,0,1,5,1,0
A,233500,948500,0,0,0,98,0,2,1,1,0
A,233500,948500,0,0,0,98,0,4,14,1,0
A,258500,947500,0,0,0,4,0,2,8,1,0
A,258500,947500,0,0,0,4,0,3,2,3,0
A,258500,947500,0,0,0,4,0,4,2,1,0
A,304500,947500,0,83,0,15,2,1,3,2,0
A,304500,947500,0,83,0,15,2,2,22,1,0
A,304500,947500,0,83,0,15,2,3,0,2,0
A,304500,947500,0,83,0,15,2,4,4,3,0
A,253500,945500,0,0,0,99,0,1,5,1,0
A,253500,945500,0,0,0,99,0,2,1,1,1
A,253500,945500,0,0,0,99,0,3,3,1,0
A,253500,945500,0,0,0,99,0,4,2,1,1
A,283500,943500,0,62,0,1,0,2,9,2,0
A,283500,943500,0,62,0,1,0,3,0,2,0
A,283500,943500,0,62,0,1,0,4,0,1,0
A,310500,943500,0,0,0,100,0,1,9,2,0
A,310500,943500,0,0,0,100,0,2,25,2,0
A,310500,943500,0,0,0,100,0,3,5,1,1
A,310500,943500,0,0,0,100,0,4,20,1,0
A,225500,942500,0,0,0,100,0,1,6,2,0
A,225500,942500,0,0,0,100,0,2,6,2,0
A,225500,942500,0,0,0,100,0,3,3,2,0
A,225500,942500,0,0,0,100,0,4,6,1,0
A,264500,942500,0,0,0,100,0,1,1,1,1
A,264500,942500,0,0,0,100,0,2,0,1,1
A,264500,942500,0,0,0,100,0,3,4,2,0
A,264500,942500,0,0,0,100,0,4,4,1,1
A,291500,942500,0,19,0,66,0,1,13,1,0
A,291500,942500,0,19,0,66,0,2,3,1,0
A,291500,942500,0,19,0,66,0,3,0,3,0
A,291500,942500,0,19,0,66,0,4,2,2,0
A,219500,941500,0,0,0,87,13,1,6,2,0
A,219500,941500,0,0,0,87,13,2,3,1,0
A,219500,941500,0,0,0,87,13,3,7,1,0
A,219500,941500,0,0,0,87,13,4,2,1,0
A,296500,941500,0,0,0,93,7,1,3,1,0
A,296500,941500,0,0,0,93,7,2,0,1,0
A,296500,941500,0,0,0,93,7,3,10,2,0
A,296500,941500,0,0,0,93,7,4,0,2,0
A,308500,941500,0,0,0,100,0,1,0,2,0
A,308500,941500,0,0,0,100,0,2,5,3,0
A,308500,941500,0,0,0,100,0,3,5,2,0
A,308500,941500,0,0,0,100,0,4,2,2,0
A,329500,941500,0,0,0,98,0,1,12,1,0
A,329500,941500,0,0,0,98,0,2,7,1,0
A,329500,941500,0,0,0,98,0,3,17,3,0
A,329500,941500,0,0,0,98,0,4,7,2,0
A,275500,940500,0,0,0,100,0,1,44,2,0
A,275500,940500,0,0,0,100,0,2,0,1,0
A,275500,940500,0,0,0,100,0,3,7,3,0
A,275500,940500,0,0,0,100,0,4,1,1,0
A,328500,940500,0,40,0,54,0,1,4,1,0
A,328500,940500,0,40,0,54,0,2,13,1,0
A,328500,940500,0,40,0,54,0,3,2,1,0
A,328500,940500,0,40,0,54,0,4,1,1,0
A,145500,938500,0,0,0,43,3,1,1,1,0
A,145500,938500,0,0,0,43,3,2,5,2,0
A,145500,938500,0,0,0,43,3,3,8,1,0
A,145500,938500,0,0,0,43,3,4,4,1,0
A,137500,937500,0,0,0,99,1,1,14,2,0
A,137500,937500,0,0,0,99,1,3,13,2,0
A,137500,937500,0,0,0,99,1,4,14,1,1
A,129500,936500,0,0,0,100,0,1,1,2,0
A,129500,936500,0,0,0,100,0,2,0,2,0
A,129500,936500,0,0,0,100,0,4,3,1,0
A,220500,936500,0,6,27,41,19,1,3,3,1
A,220500,936500,0,6,27,41,19,2,2,2,1
A,220500,936500,0,6,27,41,19,4,4,2,0
A,111500,935500,0,0,0,0,1,1,5,3,1
A,111500,935500,0,0,0,0,1,2,0,1,1
A,111500,935500,0,0,0,0,1,3,2,1,0
A,111500,935500,0,0,0,0,1,4,1,2,0
A,272500,935500,0,85,0,10,0,1,27,1,0
A,272500,935500,0,85,0,10,0,2,17,2,0
A,272500,935500,0,85,0,10,0,4,11,2,0
A,287500,934500,0,6,0,18,0,1,7,1,0
A,287500,934500,0,6,0,18,0,2,0,2,0
A,287500,934500,0,6,0,18,0,3,7,3,0
A,287500,934500,0,6,0,18,0,4,0,2,0
A,277500,932500,0,0,0,10,0,1,1,1,0
A,277500,932500,0,0,0,10,0,2,0,2,0
A,277500,932500,0,0,0,10,0,3,3,2,0
A,277500,932500,0,0,0,10,0,4,1,2,0
A,301500,932500,0,0,0,100,0,1,9,1,1
A,301500,932500,0,0,0,100,0,2,8,2,0
A,301500,932500,0,0,0,100,0,3,1,2,0
A,301500,932500,0,0,0,100,0,4,9,3,0
A,303500,931500,0,0,0,99,1,1,17,1,0
A,303500,931500,0,0,0,99,1,2,0,2,0
A,303500,931500,0,0,0,99,1,3,5,2,0
A,303500,931500,0,0,0,99,1,4,3,1,0
A,309500,931500,0,0,0,100,0,1,2,2,0
A,309500,931500,0,0,0,100,0,2,9,1,0
A,309500,931500,0,0,0,100,0,3,10,2,0
A,309500,931500,0,0,0,100,0,4,1,2,0
A,317500,931500,0,0,2,42,0,1,0,3,0
A,317500,931500,0,0,2,42,0,2,6,1,0
A,317500,931500,0,0,2,42,0,3,18,1,0
A,317500,931500,0,0,2,42,0,4,3,3,0
A,265500,930500,0,1,6,33,1,1,10,1,1
A,265500,930500,0,1,6,33,1,2,7,3,0
A,265500,930500,0,1,6,33,1,4,1,1,1
A,139500,929500,0,0,0,92,8,1,5,2,0
A,139500,929500,0,0,0,92,8,2,1,1,0
A,139500,929500,0,0,0,92,8,3,3,2,0
A,139500,929500,0,0,0,92,8,4,3,1,0
A,232500,929500,0,0,0,45,0,1,7,3,0
A,232500,929500,0,0,0,45,0,2,3,1,0
A,232500,929500,0,0,0,45,0,3,0,2,0
A,232500,929500,0,0,0,45,0,4,0,1,0
A,214500,928500,0,0,0,90,10,1,6,2,0
A,214500,928500,0,0,0,90,10,2,10,2,0
A,214500,928500,0,0,0,90,10,3,1,1,0
A,214500,928500,0,0,0,90,10,4,14,1,0
A,215500,928500,0,0,0,93,7,1,1,2,0
A,215500,928500,0,0,0,93,7,2,0,2,0
A,215500,928500,0,0,0,93,7,3,5,2,0
A,284500,927500,0,0,0,100,0,1,5,1,0
A,284500,927500,0,0,0,100,0,2,17,1,0
A,284500,927500,0,0,0,100,0,3,2,2,0
A,284500,927500,0,0,0,100,0,4,0,1,0
A,128500,926500,0,0,0,97,3,1,1,1,0
A,128500,926500,0,0,0,97,3,2,5,1,0
A,128500,926500,0,0,0,97,3,3,19,2,0
A,206500,926500,0,0,0,90,10,1,29,1,1
A,206500,926500,0,0,0,90,10,2,4,2,0
A,206500,926500,0,0,0,90,10,3,3,1,1
A,206500,926500,0,0,0,90,10,4,9,2,1
A,257500,925500,0,0,0,0,0,1,0,1,0
A,257500,925500,0,0,0,0,0,2,4,1,0
A,257500,925500,0,0,0,0,0,3,4,2,0
A,257500,925500,0,0,0,0,0,4,0,1,0
A,139500,924500,1,0,0,0,0,1,1,3,0
A,139500,924500,1,0,0,0,0,2,1,2,0
A,139500,924500,1,0,0,0,0,3,1,1,0
A,139500,924500,1,0,0,0,0,4,4,1,0
A,208500,924500,0,0,33,14,5,1,0,2,0
A,208500,924500,0,0,33,14,5,2,0,2,0
A,208500,924500,0,0,33,14,5,3,1,2,0
A,208500,924500,0,0,33,14,5,4,0,1,0
A,255500,924500,0,0,0,87,0,1,11,2,0
A,255500,924500,0,0,0,87,0,2,1,2,0
A,255500,924500,0,0,0,87,0,3,0,1,0
A,255500,924500,0,0,0,87,0,4,12,1,0
A,224500,923500,0,0,0,2,21,1,4,2,1
A,224500,923500,0,0,0,2,21,2,2,1,0
A,224500,923500,0,0,0,2,21,4,8,2,0
A,219500,921500,0,0,0,98,2,1,2,2,0
A,219500,921500,0,0,0,98,2,2,0,2,0
A,219500,921500,0,0,0,98,2,3,0,2,0
A,219500,921500,0,0,0,98,2,4,38,2,0
A,239500,921500,0,3,0,97,0,1,10,2,0
A,239500,921500,0,3,0,97,0,3,4,1,0
A,239500,921500,0,3,0,97,0,4,6,1,0
A,274500,921500,0,0,0,100,0,1,0,2,0
A,274500,921500,0,0,0,100,0,2,0,1,0
A,274500,921500,0,0,0,100,0,3,3,1,0
A,274500,921500,0,0,0,100,0,4,0,1,0
A,230500,920500,0,0,0,99,1,1,2,2,0
A,230500,920500,0,0,0,99,1,4,7,3,0
A,267500,920500,0,0,0,86,0,1,0,1,1
A,267500,920500,0,0,0,86,0,2,1,1,0
A,267500,920500,0,0,0,86,0,3,3,2,0
A,267500,920500,0,0,0,86,0,4,5,1,0
A,267500,917500,0,0,0,100,0,1,1,2,0
A,267500,917500,0,0,0,100,0,2,4,1,0
A,267500,917500,0,0,0,100,0,3,0,1,0
A,267500,917500,0,0,0,100,0,4,1,2,0
A,273500,915500,0,5,0,56,0,1,8,1,0
A,273500,915500,0,5,0,56,0,2,0,2,0
A,273500,915500,0,5,0,56,0,3,0,1,0
A,273500,915500,0,5,0,56,0,4,17,1,0
A,294500,915500,0,0,0,98,0,1,2,2,0
A,294500,915500,0,0,0,98,0,2,0,1,0
A,294500,915500,0,0,0,98,0,3,2,3,0
A,294500,915500,0,0,0,98,0,4,2,1,0
A,256500,914500,0,0,0,9,0,3,2,2,0
A,256500,914500,0,0,0,9,0,4,0,1,0
A,199500,912500,1,0,0,82,3,1,9,1,0
A,199500,912500,1,0,0,82,3,2,1,1,0
A,199500,912500,1,0,0,82,3,3,2,1,0
A,199500,912500,1,0,0,82,3,4,7,2,0
A,235500,911500,0,0,0,95,5,1,2,1,0
A,235500,911500,0,0,0,95,5,2,17,2,0
A,235500,911500,0,0,0,95,5,4,4,2,0
A,264500,911500,0,0,0,100,0,1,6,2,0
A,264500,911500,0,0,0,100,0,2,9,3,0
A,264500,911500,0,0,0,100,0,3,2,1,0
A,264500,911500,0,0,0,100,0,4,24,2,0
A,231500,909500,0,69,0,13,0,1,2,3,0
A,231500,909500,0,69,0,13,0,2,1,2,0
A,231500,909500,0,69,0,13,0,3,2,1,0
A,231500,909500,0,69,0,13,0,4,0,1,0
A,110500,907500,0,0,0,100,0,1,0,2,0
A,110500,907500,0,0,0,100,0,2,1,2,0
A,110500,907500,0,0,0,100,0,3,0,1,0
A,110500,907500,0,0,0,100,0,4,16,1,0
A,212500,907500,0,0,0,54,46,2,6,1,1
A,212500,907500,0,0,0,54,46,3,8,2,1
A,212500,907500,0,0,0,54,46,4,1,3,1
A,214500,907500,0,0,0,100,0,1,8,2,0
A,214500,907500,0,0,0,100,0,2,1,3,1
A,214500,907500,0,0,0,100,0,3,18,2,0
A,214500,907500,0,0,0,100,0,4,0,2,0
A,243500,905500,0,2,0,89,0,1,1,2,0
A,243500,905500,0,2,0,89,0,2,0,2,0
A,243500,905500,0,2,0,89,0,3,18,1,0
A,243500,905500,0,2,0,89,0,4,29,1,0
A,270500,905500,0,0,16,29,0,1,1,2,0
A,270500,905500,0,0,16,29,0,2,4,1,0
A,270500,905500,0,0,16,29,0,4,37,1,0
A,288500,905500,0,0,10,29,0,2,3,1,0
A,288500,905500,0,0,10,29,0,3,0,1,0
A,288500,905500,0,0,10,29,0,4,0,1,0
A,111500,904500,0,0,0,69,0,1,74,2,0
A,111500,904500,0,0,0,69,0,2,13,3,0
A,111500,904500,0,0,0,69,0,3,1,2,0
A,111500,904500,0,0,0,69,0,4,1,3,0
A,124500,904500,0,0,0,100,0,1,1,1,0
A,124500,904500,0,0,0,100,0,2,2,1,0
A,124500,904500,0,0,0,100,0,3,4,2,0
A,205500,904500,0,0,0,100,0,1,17,2,0
A,205500,904500,0,0,0,100,0,2,0,2,0
A,205500,904500,0,0,0,100,0,3,0,2,1
A,205500,904500,0,0,0,100,0,4,2,1,0
A,245500,902500,0,0,1,97,2,1,2,2,0
A,245500,902500,0,0,1,97,2,2,0,2,0
A,245500,902500,0,0,1,97,2,3,5,1,0
A,245500,902500,0,0,1,97,2,4,2,3,0
A,274500,901500,0,0,0,53,0,2,17,1,0
A,274500,901500,0,0,0,53,0,3,16,1,0
A,274500,901500,0,0,0,53,0,4,4,2,0
A,211500,900500,0,0,0,11,0,1,2,3,0
A,211500,900500,0,0,0,11,0,2,0,3,0
A,211500,900500,0,0,0,11,0,3,13,2,0
A,211500,900500,0,0,0,11,0,4,1,2,0
A,226500,900500,0,0,0,100,0,2,3,2,0
A,226500,900500,0,0,0,100,0,3,0,2,0
A,226500,900500,0,0,0,100,0,4,2,1,0
A,253500,900500,0,36,0,64,0,1,3,1,0
A,253500,900500,0,36,0,64,0,3,0,1,0
A,253500,900500,0,36,0,64,0,4,1,1,0
A,257500,899500,1,4,91,0,0,2,0,1,0
A,257500,899500,1,4,91,0,0,3,1,2,0
A,257500,899500,1,4,91,0,0,4,4,1,0
A,262500,899500,0,0,0,100,0,1,4,1,1
A,262500,899500,0,0,0,100,0,2,2,2,0
A,262500,899500,0,0,0,100,0,3,7,1,1
A,262500,899500,0,0,0,100,0,4,3,2,0
A,199500,897500,0,0,0,94,0,1,0,1,1
A,199500,897500,0,0,0,94,0,2,0,1,0
A,199500,897500,0,0,0,94,0,3,2,1,0
A,199500,897500,0,0,0,94,0,4,6,1,1
A,217500,896500,0,0,0,99,1,1,6,1,0
A,217500,896500,0,0,0,99,1,2,0,3,0
A,217500,896500,0,0,0,99,1,3,1,3,0
A,217500,896500,0,0,0,99,1,4,3,2,0
A,244500,895500,0,0,0,97,3,1,0,3,0
A,244500,895500,0,0,0,97,3,2,1,1,1
A,244500,895500,0,0,0,97,3,3,5,3,0
A,244500,895500,0,0,0,97,3,4,4,2,0
A,247500,895500,0,46,0,54,0,1,3,2,0
A,247500,895500,0,46,0,54,0,2,0,1,0
A,247500,895500,0,46,0,54,0,3,1,2,0
A,247500,895500,0,46,0,54,0,4,9,1,0
A,252500,895500,0,0,0,100,0,1,7,2,0
A,252500,895500,0,0,0,100,0,2,7,2,0
A,252500,895500,0,0,0,100,0,3,4,1,0
A,252500,895500,0,0,0,100,0,4,3,2,0
A,254500,894500,0,39,44,16,0,1,0,3,0
A,254500,894500,0,39,44,16,0,2,0,2,0
A,254500,894500,0,39,44,16,0,4,0,2,0
A,235500,893500,0,0,0,99,0,1,4,1,0
A,235500,893500,0,0,0,99,0,2,2,1,0
A,235500,893500,0,0,0,99,0,4,4,1,0
A,101500,892500,0,0,0,62,0,1,0,2,0
A,101500,892500,0,0,0,62,0,2,10,1,0
A,101500,892500,0,0,0,62,0,3,1,3,1
A,101500,892500,0,0,0,62,0,4,7,2,1
A,259500,891500,1,0,18,0,0,1,3,2,0
A,259500,891500,1,0,18,0,0,2,4,1,0
A,259500,891500,1,0,18,0,0,3,7,1,0
A,259500,891500,1,0,18,0,0,4,48,2,0
A,230500,890500,0,0,0,100,0,2,6,1,0
A,230500,890500,0,0,0,100,0,3,4,1,0
A,230500,890500,0,0,0,100,0,4,4,3,0
A,208500,888500,1,1,0,13,0,1,5,3,1
A,208500,888500,1,1,0,13,0,2,4,2,0
A,208500,888500,1,1,0,13,0,3,0,1,0
A,208500,888500,1,1,0,13,0,4,1,1,0
A,174500,887500,0,0,0,93,0,1,0,2,0
A,174500,887500,0,0,0,93,0,2,162,3,0
A,174500,887500,0,0,0,93,0,3,2,1,0
A,174500,887500,0,0,0,93,0,4,5,2,0
A,257500,886500,0,98,0,0,0,1,29,1,0
A,257500,886500,0,98,0,0,0,2,1,3,0
A,257500,886500,0,98,0,0,0,3,0,2,0
A,257500,886500,0,98,0,0,0,4,7,1,0
A,260500,886500,0,37,0,50,0,1,0,3,0
A,260500,886500,0,37,0,50,0,2,4,1,0
A,260500,886500,0,37,0,50,0,3,8,1,0
A,260500,886500,0,37,0,50,0,4,13,1,0
A,250500,885500,0,0,0,100,0,1,9,2,0
A,250500,885500,0,0,0,100,0,2,0,1,0
A,250500,885500,0,0,0,100,0,3,1,2,0
A,250500,885500,0,0,0,100,0,4,1,1,0
A,106500,884500,0,0,0,8,0,1,9,3,0
A,106500,884500,0,0,0,8,0,2,2,2,0
A,106500,884500,0,0,0,8,0,3,20,1,0
A,106500,884500,0,0,0,8,0,4,1,1,0
A,264500,884500,0,0,0,100,0,1,7,1,0
A,264500,884500,0,0,0,100,0,2,19,1,0
A,264500,884500,0,0,0,100,0,3,5,1,0
A,264500,884500,0,0,0,100,0,4,5,1,0
A,273500,884500,0,1,2,0,0,1,5,1,0
A,273500,884500,0,1,2,0,0,3,0,3,0
A,273500,884500,0,1,2,0,0,4,3,3,0
A,266500,882500,0,2,0,16,0,1,4,1,0
A,266500,882500,0,2,0,16,0,2,2,1,0
A,266500,882500,0,2,0,16,0,3,7,3,0
A,266500,882500,0,2,0,16,0,4,0,2,0
A,186500,881500,5,0,32,28,0,1,2,2,0
A,186500,881500,5,0,32,28,0,2,1,3,0
A,186500,881500,5,0,32,28,0,3,6,1,0
A,186500,881500,5,0,32,28,0,4,5,2,0
A,238500,881500,0,0,0,100,0,1,2,2,0
A,238500,881500,0,0,0,100,0,2,2,2,1
A,238500,881500,0,0,0,100,0,3,30,2,0
A,238500,881500,0,0,0,100,0,4,22,2,1
A,256500,881500,0,0,0,100,0,1,22,1,0
A,256500,881500,0,0,0,100,0,2,0,2,0
A,256500,881500,0,0,0,100,0,3,2,2,0
A,256500,881500,0,0,0,100,0,4,2,1,0
A,177500,880500,0,0,0,83,0,3,13,1,0
A,177500,880500,0,0,0,83,0,4,5,3,0
A,209500,879500,0,0,0,96,0,1,1,2,1
A,209500,879500,0,0,0,96,0,2,2,1,0
A,209500,879500,0,0,0,96,0,3,1,2,1
A,260500,878500,0,0,0,100,0,1,0,2,1
A,260500,878500,0,0,0,100,0,3,5,1,0
A,260500,878500,0,0,0,100,0,4,10,1,0
A,191500,877500,0,0,0,60,0,1,4,1,0
A,191500,877500,0,0,0,60,0,2,3,2,0
A,191500,877500,0,0,0,60,0,3,0,2,0
A,191500,877500,0,0,0,60,0,4,1,1,0
A,272500,876500,1,54,9,0,0,1,7,2,0
A,272500,876500,1,54,9,0,0,2,9,3,1
A,272500,876500,1,54,9,0,0,3,8,2,1
A,272500,876500,1,54,9,0,0,4,11,1,1
A,220500,875500,0,0,0,13,0,1,6,2,0
A,220500,875500,0,0,0,13,0,2,2,2,1
A,220500,875500,0,0,0,13,0,3,3,3,1
A,220500,875500,0,0,0,13,0,4,0,1,1
A,178500,871500,0,0,9,47,0,1,1,3,0
A,178500,871500,0,0,9,47,0,2,4,1,0
A,178500,871500,0,0,9,47,0,3,1,2,0
A,178500,871500,0,0,9,47,0,4,1,2,0
A,189500,871500,1,6,30,0,52,1,5,2,0
A,189500,871500,1,6,30,0,52,2,1,1,0
A,189500,871500,1,6,30,0,52,3,9,1,0
A,189500,871500,1,6,30,0,52,4,0,2,0
A,217500,869500,0,0,0,2,0,1,2,1,0
A,217500,869500,0,0,0,2,0,2,0,1,0
A,217500,869500,0,0,0,2,0,3,8,1,0
A,217500,869500,0,0,0,2,0,4,1,1,0
A,223500,869500,0,0,0,83,13,1,7,2,0
A,223500,869500,0,0,0,83,13,2,5,1,1
A,223500,869500,0,0,0,83,13,4,0,2,0
A,145500,868500,0,0,0,48,0,1,5,2,0
